Title,Path,Page Type,Meta Title,Meta Description,Category,Date,Last edited time,Meta Keywords,Next Page,Previous Page,Publish,Tag,order
🎨 Formatters: Overview,,,,"If you enter some text in the box, any factors in the map whose labels contain that text will be coloured red.",4: Analysis,,"March 24, 2025 10:29 AM",filters; formatters; colours; red; labels; opposites,,,Yes,formatters,870
📊Tables tab overview,,,,This table counts factors differently to the mentions table as it counts links rather than individual factor mentions.,4: Analysis,,"March 21, 2025 11:33 AM",links table; presets; fields,,,Yes,specific-tables,1280
